"source";"user_id";"created_at";"screen_name";"text";"retweet_count";"reply_to_user_id";"is_retweet";"favorite_count"
"Twitter for iPhone";"999578121123848192";2020-04-15 17:06:02;"GiuseppeConteIT";"Sul #MES sta lievitando un dibattito che rischia di dividere l’intera Italia secondo opposte tifoserie e rigide contrapposizioni. La mia posizione è stata molto chiara sin dall’inizio: https://t.co/IRPQWVhZMC https://t.co/6Uh8ZxiryZ";1270;NA;FALSE;7787
"Twitter Media Studio";"999578121123848192";2020-04-11 13:38:16;"GiuseppeConteIT";"Grazie a ognuno di voi. Insieme ce la faremo <U+0001F1EE><U+0001F1F9> https://t.co/IBusdJni6i";4899;NA;FALSE;27805
"Twitter for iPhone";"999578121123848192";2020-04-10 17:38:54;"GiuseppeConteIT";"In diretta da Palazzo Chigi: https://t.co/PT8pZWKOIz";760;NA;FALSE;6012
"Twitter for iPhone";"999578121123848192";2020-04-10 16:32:15;"GiuseppeConteIT";"Conferenza stampa in diretta dalle 19.30 https://t.co/zVJltKDVTN";1105;NA;FALSE;10038
"Twitter for iPhone";"999578121123848192";2020-04-10 08:47:04;"GiuseppeConteIT";"Io ho una sola parola: la mia posizione e quella del Governo sul #MES non è mai cambiata e mai cambierà. Più tardi in conferenza stampa vi aggiornerò su questo e su altre importanti questioni che riguardano il nostro Paese. A più tardi.";2893;NA;FALSE;20309
"Twitter Media Studio";"999578121123848192";2020-04-09 17:51:15;"GiuseppeConteIT";"La mia intervista alla @BBCWorld https://t.co/Rq9E6wKebK";910;NA;FALSE;5222
"Twitter for iPhone";"999578121123848192";2020-04-06 21:28:29;"GiuseppeConteIT";"Quando si difende il proprio Paese non si fanno calcoli. Io sono convinto, lo dico con tutta la prudenza che mi contraddistingue, che la storia è con noi. E vedremo alla fine quale piega prenderà. https://t.co/JVAwouZIZz";1557;NA;FALSE;9667
"Twitter for iPhone";"999578121123848192";2020-04-06 19:17:25;"GiuseppeConteIT";"Dal decreto di oggi arrivano 400 miliardi di liquidità per le imprese, con il #CuraItalia ne avevamo liberati 350. Parliamo di 750 miliardi, quasi la metà del nostro Pil. Lo Stato c’è e mette subito la sua potenza di fuoco nel motore dell'economia. Quando si rialza l'Italia corre";1780;NA;FALSE;11421
"Twitter for iPhone";"999578121123848192";2020-04-06 18:27:38;"GiuseppeConteIT";"In diretta da Palazzo Chigi: https://t.co/wTDrJfLrkJ";261;NA;FALSE;1684
"Twitter for iPhone";"999578121123848192";2020-04-06 17:10:06;"GiuseppeConteIT";"Ciao Giorgio https://t.co/Hzqs9Nv5bq";1989;NA;FALSE;16705
"Twitter for iPhone";"999578121123848192";2020-04-01 17:05:05;"GiuseppeConteIT";"Alle 20.20 conferenza stampa in diretta da @Palazzo_Chigi https://t.co/SwaE5TRqep";721;NA;FALSE;4896
"Twitter for iPhone";"999578121123848192";2020-04-01 11:46:08;"GiuseppeConteIT";"Questa sera sarò ospite di @lucasommi72, @AndreaScanzi e @marcotravaglio per una puntata speciale di #AccordiEDisaccordi. Dalle 21.25 sul @nove. https://t.co/eweqlgGl8j";555;NA;FALSE;3520
"Twitter for iPhone";"999578121123848192";2020-03-31 18:47:32;"GiuseppeConteIT";"In diretta ora: https://t.co/ZMO8g5tqdT https://t.co/emSQAXNqO4";221;NA;FALSE;1572
"Twitter for iPhone";"999578121123848192";2020-03-31 18:16:31;"GiuseppeConteIT";"Stasera andrà in onda sulla tv tedesca “Ard” una mia intervista. Ho lanciato un messaggio ai cittadini tedeschi e formulato alcune considerazioni per affrontare in modo più efficace questa emergenza europea. La potrete seguire sulla mia pagina facebook a partire dalle 20.45 https://t.co/lzhS1j16tT";721;NA;FALSE;5643
"Twitter for iPhone";"999578121123848192";2020-03-31 09:59:47;"GiuseppeConteIT";"Oggi le bandiere italiane in tutti gli uffici pubblici sono esposte a mezz'asta in segno di lutto e vicinanza ai familiari delle vittime del #coronavirus e come segnale di partecipazione collettiva al cordoglio delle comunità più colpite https://t.co/EazqXrPYJj";659;NA;TRUE;0
"Twitter for iPhone";"999578121123848192";2020-03-30 20:12:55;"GiuseppeConteIT";"Long and friendly conversation with President @realDonaldTrump. Very grateful for the solidarity and support from American friends. Let’s keep on working together to win this hard challenge <U+0001F1EE><U+0001F1F9><U+0001F1FA><U+0001F1F8>";1223;NA;FALSE;8859
"Twitter for iPhone";"999578121123848192";2020-03-29 11:11:55;"GiuseppeConteIT";"Grazie <U+0001F1E6><U+0001F1F1> https://t.co/l5JcDMhRYr";5243;NA;FALSE;31126
"Twitter for iPhone";"999578121123848192";2020-03-28 20:18:57;"GiuseppeConteIT";"L'Unione europea ha un appuntamento con la storia e la storia non aspetta, bisogna esserne all'altezza. La reazione all'emergenza #Coronavirus deve essere forte, vigorosa e coesa. Mi batterò per i cittadini italiani fino all'ultima goccia di sudore.";4936;NA;FALSE;29020
"Twitter Media Studio";"999578121123848192";2020-03-28 18:36:36;"GiuseppeConteIT";"Conferenza stampa in diretta da Palazzo Chigi https://t.co/iY0WeiX4LH";847;NA;FALSE;3501
"Twitter for iPhone";"999578121123848192";2020-03-28 17:47:08;"GiuseppeConteIT";"Alle 19.20 conferenza stampa in diretta da Palazzo Chigi https://t.co/zDaPdQop5e";856;NA;FALSE;5224
"Twitter for iPhone";"999578121123848192";2020-03-28 11:15:28;"GiuseppeConteIT";"In questa sfida senza precedenti l'Europa deve dimostrarsi all'altezza, con nuovi strumenti di rilancio e di sostegno al tessuto economico e sociale. L'inerzia consegnerebbe ai nostri figli una società devastata. 

La mia intervista oggi al @sole24ore <U+2935><U+FE0F> https://t.co/3cXyN5V9mv";787;NA;FALSE;4037
"Twitter for iPhone";"999578121123848192";2020-03-26 19:16:47;"GiuseppeConteIT";"La campagna “L’Italia è orgogliosa di voi. Grazie” è dedicata a tutti coloro che, in questo periodo, stanno rischiando la loro salute per dare il loro contributo al nostro Paese<U+0001F1EE><U+0001F1F9>. Continuare a restare a casa rimane un modo concreto per ringraziarli #iorestoacasa https://t.co/AAPxZQwGlu";673;NA;TRUE;0
"Twitter for iPhone";"999578121123848192";2020-03-26 14:18:49;"GiuseppeConteIT";"Siamo nel pieno di una corsa a ostacoli per il nostro Paese. E quando per lavoratori e famiglie l’ostacolo si fa troppo alto, c’è lo Stato che li aiuta a superarlo. Tutti insieme dobbiamo lavorare per far rialzare l’Italia. Subito. <U+27A1><U+FE0F> https://t.co/CGd6uHqzJM https://t.co/kapIGiweA8";893;NA;FALSE;6326
"Twitter for iPhone";"999578121123848192";2020-03-26 09:07:24;"GiuseppeConteIT";"In diretta dal Senato della Repubblica la mia informativa all’Aula: https://t.co/Bz5XDVO84Y";234;NA;FALSE;1488
"Twitter Media Studio";"999578121123848192";2020-03-25 17:10:36;"GiuseppeConteIT";"In diretta da Montecitorio la mia informativa alla Camera dei Deputati https://t.co/Un9gFqWS0x";432;NA;FALSE;2222
"Twitter for iPhone";"999578121123848192";2020-03-25 14:45:00;"GiuseppeConteIT";"Per perseguire queste finalità ho scritto una lettera al @eucopresident Charles Michel, insieme ai leader di Belgio, Francia, Grecia, Irlanda, Lussemburgo, Portogallo, Slovenia e Spagna: https://t.co/Tfydmlg3WQ https://t.co/FHrWDJ6yxp";286;"999578121123848192";FALSE;1990
"Twitter for iPhone";"999578121123848192";2020-03-25 14:44:57;"GiuseppeConteIT";"A livello europeo c’è necessità di uniformare le prassi sanitarie e di aumentare lo scambio di informazioni, soprattutto adesso, nella fase più acuta dell'epidemia. La risposta europea, anche sul piano economico-finanziario, deve essere poderosa, coesa, tempestiva.";329;"999578121123848192";FALSE;2525
"Twitter for iPhone";"999578121123848192";2020-03-25 14:44:57;"GiuseppeConteIT";"L'emergenza che stiamo vivendo non conosce confini. È uno shock senza precedenti che richiede misure eccezionali di reazione, necessarie non solo a contenere la diffusione del contagio, ma anche ad arginare gli effetti negativi prodotti sul tessuto socio-economico.";1128;NA;FALSE;9078
"Twitter for iPhone";"999578121123848192";2020-03-25 11:52:05;"GiuseppeConteIT";"Oggi alle 18 sarò a @Montecitorio per un’informativa sull’emergenza Coronavirus https://t.co/frqjixhZki";643;NA;FALSE;4293
"Twitter for iPhone";"999578121123848192";2020-03-24 17:40:41;"GiuseppeConteIT";"In diretta da Palazzo Chigi: https://t.co/R150TdwzS8";229;NA;FALSE;1623
"Twitter for iPhone";"999578121123848192";2020-03-24 16:58:35;"GiuseppeConteIT";"A breve terrò una conferenza stampa per aggiornarvi su quanto deciso dal Consiglio dei Ministri https://t.co/mXX5sJ7Ce2";1040;NA;FALSE;7384
"Twitter for iPhone";"999578121123848192";2020-03-23 14:10:01;"GiuseppeConteIT";"I talked to Prime Minister @GiuseppeConteIT last night and expressed our solidarity with the people of Italy in these trying times. We shall overcome this together and united as a global community. #Italy https://t.co/N5J0bxxWIJ";294;NA;TRUE;0
"Twitter for iPhone";"999578121123848192";2020-03-23 11:33:02;"GiuseppeConteIT";"Impressed by the resilience of our Ally #Italy <U+0001F1EE><U+0001F1F9> in tackling #COVID19. #NATO stands with Italy. We’ll discuss next steps at the NATO Foreign Ministers’ meeting in April. Read my interview in @repubblica: https://t.co/KFrN8VsdzZ";278;NA;TRUE;0
"Twitter for iPhone";"999578121123848192";2020-03-23 10:20:45;"GiuseppeConteIT";"Quelli che stiamo vivendo sono giorni pesanti, difficili. Ognuno di noi sta compiendo piccoli e grandi sacrifici, rinunciando ad abitudini e affetti. Ma questa è una battaglia che si vince restando uniti. 
La mia intervista oggi su @LaStampa <U+27A1><U+FE0F> https://t.co/5CP6gRClmR";1002;NA;FALSE;5987
"Twitter for iPhone";"999578121123848192";2020-03-22 19:38:38;"GiuseppeConteIT";"Come annunciato ieri sera, a partire da domani resterà chiusa sull’intero territorio nazionale ogni attività produttiva che non sia strettamente necessaria e indispensabile a garantirci beni e servizi essenziali. Qui il decreto che ho appena firmato <U+2935><U+FE0F> https://t.co/dMK2BuXkLa";1548;NA;FALSE;6806
"Twitter for iPhone";"999578121123848192";2020-03-21 22:23:46;"GiuseppeConteIT";"In diretta da Palazzo Chigi: https://t.co/joORwHHeYi";555;NA;FALSE;3002
